step,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,patch_w,clip_w
1,1,0.6936,0.5000,0.6915,0.7600,0.7500,0.7968,0.4993,0.5007
step,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,patch_w,clip_w
1,1,0.6936,0.5000,0.6915,0.7600,0.7500,0.7968,0.4993,0.5007
step,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,patch_w,clip_w
1,1,0.2118,0.9127,0.1504,0.9404,0.9410,0.9866,0.0395,0.9605
2,2,0.1482,0.9416,0.1266,0.9497,0.9505,0.9906,0.0307,0.9693
3,3,0.1298,0.9487,0.1215,0.9523,0.9524,0.9909,0.0107,0.9893
4,4,0.1170,0.9551,0.1114,0.9573,0.9571,0.9925,0.0235,0.9765
5,5,0.1095,0.9576,0.1105,0.9566,0.9560,0.9930,0.0164,0.9836
6,6,0.1024,0.9607,0.1122,0.9558,0.9566,0.9928,0.0128,0.9872
7,7,0.0960,0.9627,0.1036,0.9609,0.9610,0.9938,0.0049,0.9951
8,8,0.0898,0.9653,0.1033,0.9591,0.9594,0.9935,0.0101,0.9899
9,9,0.0833,0.9683,0.1004,0.9598,0.9596,0.9940,0.0111,0.9889
